Concept;Feature;WB_Label;WB_Maj;WB_Min;BR_Label;Prod_Freq;Rank_PF;Sum_PF_No_Tax;CPF;Disting;Distinct;CV_No_Tax;Intercorr_Str_Tax;Intercorr_Str_No_Tax;Feat_Length_Including_Spaces;Phon_1st;KF;ln(KF);BNC;ln(BNC);Familiarity;Length_Letters;Length_Phonemes;Length_Syllables;Bigram;Trigram;ColtheartN;Num_Feats_Tax;Num_Feats_No_Tax;Num_Disting_Feats_No_Tax;Disting_Feats_%_No_Tax;Mean_Distinct_No_Tax;Mean_CV_No_Tax;Density_No_Tax;Num_Corred_Pairs_No_Tax;%_Corred_Pairs_No_Tax;Num_Func;Num_Vis_Mot;Num_VisF&S;Num_Vis_Col;Num_Sound;Num_Taste;Num_Smell;Num_Tact;Num_Ency;Num_Tax
robin;is_small;external_surface_property;e;se;visual-form_and_surface;6;15;1229;121;ND;0.008;0.005;0;0;8;r;2;0.69;2467;июль.81;май.95;5;5;2;592.48;24.март;0;17;16;5;31.март;0.348;0.378;614.30;28;51;0;4;4;1;1;0;0;0;6;1
sailboat;is_small;external_surface_property;e;se;visual-form_and_surface;6;10;1229;121;ND;0.008;0.005;0;0;8;s;4;янв.39;21;03.апр;апр.95;8;6;2;206.79;авг.80;0;14;13;6;46.2;0.357;0.364;46.29;4;19;4;1;6;0;0;0;0;0;2;1
salamander;is_small;external_surface_property;e;se;visual-form_and_surface;14;1;1229;121;ND;0.008;0.011;0;0;8;s;2;0.69;79;апр.37;февр.45;10;10;4;85.33;0.00;0;13;9;0;0.0;0.080;0.056;82.87;5;14;1;0;5;1;0;0;0;1;1;4
sardine;is_small;external_surface_property;e;se;visual-form_and_surface;18;3;1229;121;ND;0.008;0.015;0;0;8;s;2;0.69;198;май.29;март.15;7;5;2;2137.42;243.50;0;11;10;2;20.0;0.183;0.203;79.74;2;7;2;1;1;0;0;2;1;1;2;1
scooter;is_small;external_surface_property;e;se;visual-form_and_surface;5;10;1229;121;ND;0.008;0.004;0;0;8;s;1;0.00;111;апр.71;февр.60;7;6;2;1115.18;127.70;2;13;12;1;08.март;0.151;0.113;255.42;14;25;3;2;6;0;0;0;0;0;1;1
screws;is_small;external_surface_property;e;se;visual-form_and_surface;8;10;1229;121;ND;0.008;0.007;0;0;8;s;31;март.43;1228;07.нояб;июнь.55;6;5;1;485.61;37.09;3;19;18;8;44.4;0.431;0.447;120.04;8;18;8;0;8;0;0;0;0;0;2;1
shack;is_small;external_surface_property;e;se;visual-form_and_surface;14;3;1229;121;ND;0.008;0.011;0;0;8;S;2;0.69;170;май.14;март.55;5;3;1;1283.53;336.68;8;12;12;1;08.март;0.238;0.221;90.89;7;13;3;0;6;0;0;0;0;0;3;0
shed;is_small;external_surface_property;e;se;visual-form_and_surface;12;5;1229;121;ND;0.008;0.010;0;0;8;S;15;февр.71;2559;июль.85;07.май;4;3;1;4591.33;23.18;5;12;11;4;36.4;0.375;0.395;80.97;5;24;4;0;5;0;0;0;0;0;2;1
shrimp;is_small;external_surface_property;e;se;visual-form_and_surface;17;2;1229;121;ND;0.008;0.014;0;0;8;S;2;0.69;409;06.янв;май.80;6;5;1;640.39;31.24;0;13;13;0;0.0;0.066;0.055;175.69;8;10;1;1;4;3;0;1;0;0;3;0
skunk;is_small;external_surface_property;e;se;visual-form_and_surface;6;12;1229;121;ND;0.008;0.005;0;0;8;s;1;0.00;57;04.апр;май.50;5;5;1;893.09;26.27;1;12;11;3;27.март;0.298;0.299;117.98;9;32;0;1;6;2;0;0;1;0;1;1
slingshot;used_for_hunting_small_game;function;s;f;function;5;15;5;1;D;1.000;1.000;0;0;27;s;1;0.00;11;февр.40;апр.15;9;7;2;70.76;авг.58;0;15;13;7;53.8;0.503;0.491;130.62;6;40;9;0;3;0;0;0;0;0;1;2
snail;is_small;external_surface_property;e;se;visual-form_and_surface;10;5;1229;121;ND;0.008;0.008;0;0;8;s;2;0.69;543;июнь.30;май.40;5;4;1;501.25;21.92;1;9;9;3;33.3;0.402;0.444;101.94;5;33;2;1;3;0;0;0;0;1;2;0
sparrow;is_small;external_surface_property;e;se;visual-form_and_surface;15;6;1229;121;ND;0.008;0.012;0;0;8;s;1;0.00;294;май.68;апр.35;7;5;2;321.59;дек.34;0;13;11;1;09.янв;0.154;0.157;733.51;27;60;0;1;4;0;2;0;0;0;4;2
spider;is_small;external_surface_property;e;se;visual-form_and_surface;12;5;1229;121;ND;0.008;0.010;0;0;8;s;2;0.69;1036;июнь.94;июль.25;6;6;2;1789.64;153.82;0;16;15;4;26.июль;0.370;0.368;148.69;10;18;0;4;6;1;0;0;0;1;3;1
squirrel;is_small;external_surface_property;e;se;visual-form_and_surface;12;8;1229;121;ND;0.008;0.010;0;0;8;s;1;0.00;396;май.98;июль.85;8;6;2;419.05;34.58;0;18;16;2;12.май;0.177;0.192;239.63;16;18;0;5;6;2;0;0;0;0;3;2
starling;is_small;external_surface_property;e;se;visual-form_and_surface;8;7;1229;121;ND;0.008;0.007;0;0;8;s;1;0.00;183;май.21;февр.75;8;6;2;1921.27;984.36;7;12;11;0;0.0;0.064;0.045;738.78;28;51;0;3;4;1;1;0;0;0;2;1
stone;is_small;external_surface_property;e;se;visual-form_and_surface;5;10;1229;121;ND;0.008;0.004;0;0;8;s;70;апр.25;11527;сент.35;июль.40;5;4;1;1571.60;401.31;8;11;9;0;0.0;0.079;0.081;39.68;3;8;2;0;2;1;0;0;0;4;0;2
stool_(furniture);is_small;external_surface_property;e;se;visual-form_and_surface;8;6;1229;121;ND;0.008;0.007;0;0;8;s;1;0.00;1144;07.апр;июль.80;5;4;1;1234.19;311.62;3;13;13;4;30.авг;0.264;0.265;31.дек;1;3;1;0;10;0;0;0;0;0;2;0
strawberry;is_small;external_surface_property;e;se;visual-form_and_surface;6;10;1229;121;ND;0.008;0.005;0;0;8;s;2;0.69;661;июнь.49;авг.45;10;8;3;115.36;0.00;0;17;16;6;37.5;0.360;0.346;190.86;10;22;5;0;2;2;0;2;0;2;3;1
tack;is_small;external_surface_property;e;se;visual-form_and_surface;15;2;1229;121;ND;0.008;0.012;0;0;8;t;4;янв.39;580;июнь.36;июнь.40;4;3;1;2157.01;718.41;15;13;13;3;23.янв;0.309;0.294;54.39;4;9;3;0;4;2;0;0;0;1;3;0
tangerine;is_small;external_surface_property;e;se;visual-form_and_surface;15;4;1229;121;ND;0.008;0.012;0;0;8;t;1;0.00;78;апр.36;07.окт;9;7;3;902.66;171.12;0;16;15;0;0.0;0.142;0.134;1419.41;58;55;1;0;6;1;0;1;0;1;5;1
thimble;is_small;external_surface_property;e;se;visual-form_and_surface;13;5;1229;121;ND;0.008;0.011;0;0;8;T;1;0.00;41;март.71;март.85;7;5;2;624.55;83.86;0;11;11;6;54.5;0.480;0.501;19.июнь;2;20;4;0;4;1;0;0;0;0;2;0
toad;is_small;external_surface_property;e;se;visual-form_and_surface;7;12;1229;121;ND;0.008;0.006;0;0;8;t;4;янв.39;468;июнь.15;апр.65;4;3;1;1109.57;122.80;5;23;19;4;21.янв;0.259;0.242;340.97;14;13;0;6;5;2;1;0;0;1;4;4
tricycle;is_small;external_surface_property;e;se;visual-form_and_surface;15;5;1229;121;ND;0.008;0.012;0;0;8;t;1;0.00;57;04.апр;июнь.20;8;7;3;284.22;нояб.25;0;17;15;2;13.март;0.246;0.244;327.94;19;24;4;1;7;1;0;0;0;0;2;2
trolley;is_small;external_surface_property;e;se;visual-form_and_surface;5;6;1229;121;ND;0.008;0.004;0;0;8;t;5;янв.61;730;июнь.59;март.70;7;5;2;736.24;76.29;1;8;8;1;12.май;0.178;0.166;35.36;2;10;3;0;4;0;0;0;0;0;1;0
turtle;is_small;external_surface_property;e;se;visual-form_and_surface;5;16;1229;121;ND;0.008;0.004;0;0;8;t;9;февр.20;447;06.окт;май.70;6;4;2;1559.43;462.24;1;18;14;3;21.апр;0.221;0.223;165.52;5;9;0;4;5;1;0;0;0;1;3;4
walnut;is_small;external_surface_property;e;se;visual-form_and_surface;5;10;1229;121;ND;0.008;0.004;0;0;8;w;16;февр.77;461;июнь.13;май.75;6;6;2;414.12;49.52;0;11;9;1;11.янв;0.166;0.165;16.21;2;7;3;0;2;1;0;0;0;2;1;2
wasp;is_small;external_surface_property;e;se;visual-form_and_surface;9;6;1229;121;ND;0.008;0.007;0;0;8;w;2;0.69;617;июнь.42;май.20;4;4;1;1299.50;25.72;6;16;14;4;28.июнь;0.225;0.196;239.08;9;20;0;2;3;2;1;0;0;0;6;2
whistle;is_small;external_surface_property;e;se;visual-form_and_surface;13;4;1229;121;ND;0.008;0.011;0;0;8;w;4;янв.39;930;июнь.84;июнь.40;7;4;2;421.65;51.59;2;14;14;6;42.9;0.438;0.448;16.56;2;7;6;0;4;0;4;0;0;0;0;0
worm;is_small;external_surface_property;e;se;visual-form_and_surface;7;7;1229;121;ND;0.008;0.006;0;0;8;w;9;февр.20;1273;июль.15;июнь.55;4;3;1;2233.65;722.34;9;11;11;3;27.март;0.325;0.333;авг.74;1;4;2;3;2;1;0;0;0;1;2;0
